,k,l,flip and rotation,brightness
312,2,5,0,490.5117187500001
313,2,5,0,529.0195312500001
314,3,4,0,5.373046875
315,5,0,0,-3.95361328125
316,2,5,0,97.69140625000026
317,4,2,0,-6.745117187499975
318,4,2,0,3.0673828125000284
319,1,4,0,-24.590820312499822
320,5,0,0,-12.56298828125
321,1,4,0,3.0029296875001705
322,2,1,0,6.7626953125
323,4,4,0,-5.41845703125
324,0,3,0,-13.929199218749869
325,0,0,0,3.103515625000199
326,2,5,0,30.49609375000026
327,2,5,0,213.76171875000028
328,2,5,0,303.71484375000017
329,2,5,0,375.8398437500001
330,2,5,0,322.5664062500001
331,2,5,0,370.84765625000017
332,2,5,0,477.4804687500001
333,4,2,0,-77.30761718749997
334,0,0,0,18.689453125000114
335,2,5,0,47.85546875000024
336,1,5,0,3.27490234375
337,2,5,0,21.43359375000027
338,2,1,0,-2.8623046875
339,2,3,0,2.4091796874999787
340,1,3,0,-0.53955078125
341,0,0,0,33.6816406250002
342,1,3,0,8.26513671875
343,0,0,0,18.158203125000178
344,0,0,0,-2.224609374999801
345,2,5,0,235.60546875000023
346,2,5,0,440.05078125000006
347,2,5,0,226.01953125000017
348,2,3,0,-6.676757812500028
349,4,5,0,-5.6689453125
350,2,5,0,44.82421875000024
351,2,5,0,37.07421875000024
352,0,4,0,1.7978515625
353,2,5,0,30.13671875000027
354,4,1,0,0.39794921875
355,4,0,0,-1.7768554687501315
356,1,4,0,-36.5517578124999
357,5,4,0,6.583984375000195
358,4,5,0,-14.9267578125
359,5,3,0,6.93164062500005
360,1,4,0,-2.950195312499872
361,2,5,0,295.4101562500002
362,2,5,0,-0.6601562499998863
363,4,4,0,1.89404296875
364,4,2,0,-80.30761718749997
365,0,0,0,-7.419921874999886
366,2,5,0,88.85546875000026
367,2,5,0,44.73046875000024
368,1,2,0,10.336425781249858
369,2,5,0,44.94921875000027
370,2,1,0,24.1142578125
371,3,5,0,3.1005859375
372,0,5,0,-5.349121093749858
373,5,5,0,3.596679687500078
374,4,2,0,-16.440429687499936
375,2,4,0,32.8505859375
376,1,4,0,-3.9033203124998224
377,2,5,0,237.56640625000023
378,2,5,0,89.16015625000016
379,4,5,0,-11.1611328125
380,4,2,0,-1.1748046874999591
381,2,5,0,6.9882812500002505
382,2,5,0,35.07421875000024
383,1,4,0,-4.747070312499801
384,2,1,0,21.6611328125
385,2,5,0,71.17578125000027
386,3,2,0,-14.39990234375
387,0,5,0,-6.395996093749886
388,0,1,0,0.20947265625
389,5,3,0,-3.3105468749999787
390,4,0,0,-1.5971679687500142
391,2,4,0,14.1318359375
392,2,3,0,0.42480468749992895
393,2,5,0,0.12890625000022737
394,1,2,0,-0.3510742187500959
395,0,1,0,-16.11083984375
